OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU0225	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Streptomycetaceae	g__Streptomyces	s__
OTU0226	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Streptomycetaceae	g__Streptomyces	s__aculeolatus
OTU0227	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Streptomycetaceae	g__Streptomyces	s__lanatus
OTU0228	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Streptomycetaceae	g__Streptomyces	s__mirabilis
OTU0229	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Streptomycetaceae	g__Streptomyces	s__radiopugnans
OTU0230	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Streptomycetaceae	g__Streptomyces	s__reticuliscabiei
OTU0231	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Streptomycetaceae	g__Streptomyces	s__scabrisporus
OTU0232	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Streptomycetaceae	g__Streptomyces	s__thermoatroviridis
OTU0233	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Streptosporangiaceae	__	__
OTU0234	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Streptosporangiaceae	g__	s__
OTU0235	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Streptosporangiaceae	g__Nonomuraea	__
OTU0236	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Streptosporangiaceae	g__Nonomuraea	s__
OTU0237	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Streptosporangiaceae	g__Nonomuraea	s__roseoviolacea
OTU0238	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Streptosporangiaceae	g__Sphaerisporangium	s__
OTU0239	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Streptosporangiaceae	g__Streptosporangium	s__
OTU0240	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Thermomonosporaceae	__	__
OTU0241	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Thermomonosporaceae	g__	s__
OTU0242	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Thermomonosporaceae	g__Actinoallomurus	__
OTU0243	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Thermomonosporaceae	g__Actinoallomurus	s__
OTU0244	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Thermomonosporaceae	g__Actinoallomurus	s__iriomotensis
OTU0245	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Thermomonosporaceae	g__Actinocorallia	s__
OTU0246	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Thermomonosporaceae	g__Actinomadura	s__alba
OTU0247	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Thermomonosporaceae	g__Actinomadura	s__vinacea
OTU0248	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Thermomonosporaceae	g__Spirillospora	s__albida
OTU0249	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	__
OTU0250	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	s__
OTU0251	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__WCHB1-81	f__At425_EubF1	g__	s__
OTU0252	k__Bacteria	p__Actinobacteria	c__MB-A2-108	o__0319-7L14	f__	g__	s__
OTU0253	k__Bacteria	p__Actinobacteria	c__MB-A2-108	o__	f__	g__	s__
OTU0254	k__Bacteria	p__Actinobacteria	c__Nitriliruptoria	o__Euzebyales	f__Euzebyaceae	g__Euzebya	s__
OTU0255	k__Bacteria	p__Actinobacteria	c__OPB41	o__	f__	g__	s__
OTU0256	k__Bacteria	p__Actinobacteria	c__Rubrobacteria	o__Rubrobacterales	f__Rubrobacteraceae	g__	s__
OTU0257	k__Bacteria	p__Actinobacteria	c__Rubrobacteria	o__Rubrobacterales	f__Rubrobacteraceae	g__Rubrobacter	s__
OTU0258	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	__	__	__	__
OTU0259	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__	f__	g__	s__
OTU0260	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	__	__	__
OTU0261	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__	g__	s__
OTU0262	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__AK1AB1_02E	g__	s__
OTU0263	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	__	__
OTU0264	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__	s__
OTU0265	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__Gaiella	s__occulta
OTU0266	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	__	__	__
OTU0267	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__	g__	s__
OTU0268	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__Conexibacteraceae	__	__
OTU0269	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__Conexibacteraceae	g__	s__
OTU0270	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__Conexibacteraceae	g__Conexibacter	s__
OTU0271	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__Patulibacteraceae	g__	s__
OTU0272	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__	s__
OTU0273	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Solirubrobacter	s__
OTU0274	k__Bacteria	p__Armatimonadetes	c__0319-6E2	o__	f__	g__	s__
OTU0275	k__Bacteria	p__Armatimonadetes	c__	o__	f__	g__	s__
OTU0276	k__Bacteria	p__Armatimonadetes	c__Armatimonadia	o__Armatimonadales	f__Armatimonadaceae	__	__
OTU0277	k__Bacteria	p__Armatimonadetes	c__Armatimonadia	o__Armatimonadales	f__Armatimonadaceae	g__	s__
OTU0278	k__Bacteria	p__Armatimonadetes	c__Armatimonadia	o__Armatimonadales	f__Armatimonadaceae	g__Armatimonas	s__
OTU0279	k__Bacteria	p__Armatimonadetes	c__Armatimonadia	o__FW68	f__	g__	s__
OTU0280	k__Bacteria	p__Armatimonadetes	c__Chthonomonadetes	o__Chthonomonadales	f__	g__	s__
OTU0281	k__Bacteria	p__Armatimonadetes	c__Chthonomonadetes	o__Chthonomonadales	f__Chthonomonadaceae	g__	s__
OTU0282	k__Bacteria	p__Armatimonadetes	c__Chthonomonadetes	o__Chthonomonadales	f__Chthonomonadaceae	g__Chthonomonas	s__
OTU0283	k__Bacteria	p__Armatimonadetes	c__Chthonomonadetes	o__SJA-22	f__	g__	s__
OTU0284	k__Bacteria	p__Armatimonadetes	c__OPB50	o__	f__	g__	s__
OTU0285	k__Bacteria	p__Armatimonadetes	c__SHA-37	o__	f__	g__	s__
OTU0286	k__Bacteria	p__Armatimonadetes	c__SJA-176	o__	f__	g__	s__
OTU0287	k__Bacteria	p__Armatimonadetes	c__SJA-176	o__GAB-B06	f__	g__	s__
OTU0288	k__Bacteria	p__Armatimonadetes	c__SJA-176	o__RB046	f__	g__	s__
OTU0289	k__Bacteria	p__Armatimonadetes	c__SJA-176	o__TP122	f__	g__	s__
OTU0290	k__Bacteria	p__Armatimonadetes	c__[Fimbriimonadia]	o__[Fimbriimonadales]	f__	g__	s__
OTU0291	k__Bacteria	p__Armatimonadetes	c__[Fimbriimonadia]	o__[Fimbriimonadales]	f__[Fimbriimonadaceae]	__	__
OTU0292	k__Bacteria	p__Armatimonadetes	c__[Fimbriimonadia]	o__[Fimbriimonadales]	f__[Fimbriimonadaceae]	g__	s__
OTU0293	k__Bacteria	p__Armatimonadetes	c__[Fimbriimonadia]	o__[Fimbriimonadales]	f__[Fimbriimonadaceae]	g__Fimbriimonas	s__
OTU0294	k__Bacteria	p__BHI80-139	c__	o__	f__	g__	s__
OTU0295	k__Bacteria	p__BRC1	c__	o__	f__	g__	s__
OTU0296	k__Bacteria	p__BRC1	c__NPL-UPA2	o__	f__	g__	s__
OTU0297	k__Bacteria	p__BRC1	c__PRR-11	o__	f__	g__	s__
OTU0298	k__Bacteria	p__Bacteroidetes	__	__	__	__	__
OTU0299	k__Bacteria	p__Bacteroidetes	c__At12OctB3	o__	f__	g__	s__
OTU0300	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__	g__	s__
OTU0301	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__
OTU0302	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__caccae
OTU0303	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__ovatus
OTU0304	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uniformis
OTU0305	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Dysgonomonas	s__
OTU0306	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Paludibacter	s__
OTU0307	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__copri
OTU0308	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__intermedia
OTU0309	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__RF16	g__	s__
OTU0310	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__SB-1	g__	s__
OTU0311	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__[Paraprevotellaceae]	g__[Prevotella]	s__
OTU0312	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	__	__	__
OTU0313	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__	g__	s__
OTU0314	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	__	__
OTU0315	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__	s__
OTU0316	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Adhaeribacter	s__
OTU0317	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Cytophaga	s__
OTU0318	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Dyadobacter	s__
OTU0319	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Emticicia	s__
OTU0320	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Hymenobacter	s__
OTU0321	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Rudanella	s__
OTU0322	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Runella	s__
OTU0323	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Spirosoma	s__
OTU0324	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Sporocytophaga	s__
OTU0325	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Flammeovirgaceae	g__	s__
OTU0326	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__[Amoebophilaceae]	g__Candidatus Amoebophilus	s__
OTU0327	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__[Amoebophilaceae]	g__SC3-56	s__
OTU0328	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__	g__	s__
OTU0329	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Cryomorphaceae	g__	s__
OTU0330	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Cryomorphaceae	g__Fluviicola	s__
OTU0331	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__	s__
OTU0332	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Capnocytophaga	s__
OTU0333	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	__
OTU0334	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__
OTU0335	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__frigidarium
OTU0336	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__succinicans
OTU0337	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Myroides	s__
OTU0338	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__[Weeksellaceae]	g__	s__
OTU0339	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__[Weeksellaceae]	g__Chryseobacterium	s__
OTU0340	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__[Weeksellaceae]	g__Cloacibacterium	s__
OTU0341	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__[Weeksellaceae]	g__Wautersiella	s__
OTU0342	k__Bacteria	p__Bacteroidetes	c__SM1A07	o__	f__	g__	s__
OTU0343	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__	g__	s__
OTU0344	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	__	__
OTU0345	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__	s__
OTU0346	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Cytophagales	s__MBIC4147
OTU0347	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	__
OTU0348	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	s__composti
OTU0349	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	s__daejeonensis
OTU0350	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	s__jinjuensis
OTU0351	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	s__kameinonensis
OTU0352	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	s__rigui
OTU0353	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	s__ximonensis
OTU0354	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Olivibacter	s__
OTU0355	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	__
OTU0356	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__
OTU0357	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Solitalea	s__koreensis
OTU0358	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Sphingobacterium	s__faecium
OTU0359	k__Bacteria	p__Bacteroidetes	c__VC2_1_Bac22	o__	f__	g__	s__
OTU0360	k__Bacteria	p__Bacteroidetes	c__[Rhodothermi]	o__[Rhodothermales]	f__Rhodothermaceae	g__Rubricoccus	s__
OTU0361	k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	o__[Saprospirales]	__	__	__
OTU0362	k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	o__[Saprospirales]	f__	g__	s__
OTU0363	k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	o__[Saprospirales]	f__Chitinophagaceae	__	__
OTU0364	k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	o__[Saprospirales]	f__Chitinophagaceae	g__	s__
OTU0365	k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	o__[Saprospirales]	f__Chitinophagaceae	g__Chitinophaga	__
OTU0366	k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	o__[Saprospirales]	f__Chitinophagaceae	g__Chitinophaga	s__
OTU0367	k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	o__[Saprospirales]	f__Chitinophagaceae	g__Chitinophaga	s__arvensicola
OTU0368	k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	o__[Saprospirales]	f__Chitinophagaceae	g__Ferruginibacter	s__lapsinanis
OTU0369	k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	o__[Saprospirales]	f__Chitinophagaceae	g__Flavihumibacter	s__
OTU0370	k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	o__[Saprospirales]	f__Chitinophagaceae	g__Flavisolibacter	s__
OTU0371	k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	o__[Saprospirales]	f__Chitinophagaceae	g__Niabella	s__
OTU0372	k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	o__[Saprospirales]	f__Chitinophagaceae	g__Niastella	s__
OTU0373	k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	o__[Saprospirales]	f__Chitinophagaceae	g__Sediminibacterium	s__
OTU0374	k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	o__[Saprospirales]	f__Chitinophagaceae	g__Segetibacter	s__
OTU0375	k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	o__[Saprospirales]	f__Saprospiraceae	g__	s__
OTU0376	k__Bacteria	p__Chlamydiae	c__Chlamydiia	__	__	__	__
OTU0377	k__Bacteria	p__Chlamydiae	c__Chlamydiia	o__	f__	g__	s__
OTU0378	k__Bacteria	p__Chlamydiae	c__Chlamydiia	o__Chlamydiales	__	__	__
OTU0379	k__Bacteria	p__Chlamydiae	c__Chlamydiia	o__Chlamydiales	f__	g__	s__
OTU0380	k__Bacteria	p__Chlamydiae	c__Chlamydiia	o__Chlamydiales	f__Criblamydiaceae	g__Criblamydia	s__sequanensis
OTU0381	k__Bacteria	p__Chlamydiae	c__Chlamydiia	o__Chlamydiales	f__Criblamydiaceae	g__Estrella	s__lausannensis
OTU0382	k__Bacteria	p__Chlamydiae	c__Chlamydiia	o__Chlamydiales	f__Parachlamydiaceae	__	__
OTU0383	k__Bacteria	p__Chlamydiae	c__Chlamydiia	o__Chlamydiales	f__Parachlamydiaceae	g__	s__
OTU0384	k__Bacteria	p__Chlamydiae	c__Chlamydiia	o__Chlamydiales	f__Parachlamydiaceae	g__Candidatus Protochlamydia	s__
OTU0385	k__Bacteria	p__Chlamydiae	c__Chlamydiia	o__Chlamydiales	f__Parachlamydiaceae	g__Neochlamydia	s__hartmannellae
OTU0386	k__Bacteria	p__Chlamydiae	c__Chlamydiia	o__Chlamydiales	f__Parachlamydiaceae	g__Parachlamydia	s__
OTU0387	k__Bacteria	p__Chlamydiae	c__Chlamydiia	o__Chlamydiales	f__Parachlamydiaceae	g__Parachlamydia	s__acanthamoebae
OTU0388	k__Bacteria	p__Chlamydiae	c__Chlamydiia	o__Chlamydiales	f__Rhabdochlamydiaceae	g__Candidatus Rhabdochlamydia	s__
OTU0389	k__Bacteria	p__Chlamydiae	c__Chlamydiia	o__Chlamydiales	f__Simkaniaceae	__	__
OTU0390	k__Bacteria	p__Chlamydiae	c__Chlamydiia	o__Chlamydiales	f__Simkaniaceae	g__Simkania	__
OTU0391	k__Bacteria	p__Chlorobi	c__	o__	f__	g__	s__
OTU0392	k__Bacteria	p__Chlorobi	c__BSV26	o__A89	f__	g__	s__
OTU0393	k__Bacteria	p__Chlorobi	c__BSV26	o__C20	f__	g__	s__
OTU0394	k__Bacteria	p__Chlorobi	c__BSV26	o__PK329	f__	g__	s__
OTU0395	k__Bacteria	p__Chlorobi	c__BSV26	o__VC38	f__	g__	s__
OTU0396	k__Bacteria	p__Chlorobi	c__Ignavibacteria	o__Ignavibacteriales	f__Ignavibacteriaceae	g__	s__
OTU0397	k__Bacteria	p__Chlorobi	c__OPB56	o__	f__	g__	s__
OTU0398	k__Bacteria	p__Chlorobi	c__SJA-28	o__	f__	g__	s__
OTU0399	k__Bacteria	p__Chloroflexi	__	__	__	__	__
OTU0400	k__Bacteria	p__Chloroflexi	c__	o__	f__	g__	s__
OTU0401	k__Bacteria	p__Chloroflexi	c__Anaerolineae	__	__	__	__
OTU0402	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__	f__	g__	s__
OTU0403	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__A31	f__	g__	s__
OTU0404	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__A31	f__S47	g__	s__
OTU0405	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolinaceae	__	__
OTU0406	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolinaceae	g__	s__
OTU0407	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolinaceae	g__Anaerolinea	s__
OTU0408	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolinaceae	g__Anaerolinea	s__thermolimosa
OTU0409	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Ardenscatenales	f__Ardenscatenaceae	g__Ardenscatena	s__
OTU0410	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__CFB-26	f__	g__	s__
OTU0411	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Caldilineales	f__	g__	s__
OTU0412	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Caldilineales	f__Caldilineaceae	__	__
OTU0413	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Caldilineales	f__Caldilineaceae	g__	s__
OTU0414	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Caldilineales	f__Caldilineaceae	g__Caldilinea	s__
OTU0415	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__GCA004	f__	g__	s__
OTU0416	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__H39	f__	g__	s__
OTU0417	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__S0208	f__	g__	s__
OTU0418	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__SB-34	f__	g__	s__
OTU0419	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__SBR1031	__	__	__
OTU0420	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__SBR1031	f__A4b	g__	s__
OTU0421	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__SBR1031	f__SJA-101	g__	s__
OTU0422	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__SBR1031	f__oc28	g__	s__
OTU0423	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__SHA-20	f__	g__	s__
OTU0424	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__SJA-15	f__	g__	s__
OTU0425	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__WCHB1-50	f__	g__	s__
OTU0426	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__envOPS12	f__	g__	s__
OTU0427	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__pLW-97	f__	g__	s__
OTU0428	k__Bacteria	p__Chloroflexi	c__C0119	o__	f__	g__	s__
OTU0429	k__Bacteria	p__Chloroflexi	c__Chloroflexi	o__AKIW781	f__	g__	s__
OTU0430	k__Bacteria	p__Chloroflexi	c__Chloroflexi	o__Chloroflexales	f__Chloroflexaceae	g__Chloronema	s__
OTU0431	k__Bacteria	p__Chloroflexi	c__Chloroflexi	o__Chloroflexales	f__FFCH7168	g__	s__
OTU0432	k__Bacteria	p__Chloroflexi	c__Chloroflexi	o__Herpetosiphonales	f__	g__	s__
OTU0433	k__Bacteria	p__Chloroflexi	c__Chloroflexi	o__[Roseiflexales]	f__	g__	s__
OTU0434	k__Bacteria	p__Chloroflexi	c__Chloroflexi	o__[Roseiflexales]	f__[Kouleothrixaceae]	g__	s__
OTU0435	k__Bacteria	p__Chloroflexi	c__Dehalococcoidetes	o__Dehalococcoidales	__	__	__
OTU0436	k__Bacteria	p__Chloroflexi	c__Dehalococcoidetes	o__Dehalococcoidales	f__	g__	s__
OTU0437	k__Bacteria	p__Chloroflexi	c__Dehalococcoidetes	o__Dehalococcoidales	f__Dehalococcoidaceae	g__	s__
OTU0438	k__Bacteria	p__Chloroflexi	c__Dehalococcoidetes	o__Dehalococcoidales	f__Dehalococcoidaceae	g__Dehalogenimonas	s__
OTU0439	k__Bacteria	p__Chloroflexi	c__Dehalococcoidetes	o__GIF9	f__	g__	s__
OTU0440	k__Bacteria	p__Chloroflexi	c__Ellin6529	o__	f__	g__	s__
OTU0441	k__Bacteria	p__Chloroflexi	c__Gitt-GS-136	o__	f__	g__	s__
OTU0442	k__Bacteria	p__Chloroflexi	c__Ktedonobacteria	__	__	__	__
OTU0443	k__Bacteria	p__Chloroflexi	c__Ktedonobacteria	o__	f__	g__	s__
OTU0444	k__Bacteria	p__Chloroflexi	c__Ktedonobacteria	o__B12-WMSP1	f__	g__	s__
OTU0445	k__Bacteria	p__Chloroflexi	c__Ktedonobacteria	o__Elev-1554	f__	g__	s__
OTU0446	k__Bacteria	p__Chloroflexi	c__Ktedonobacteria	o__JG30-KF-AS9	f__	g__	s__
OTU0447	k__Bacteria	p__Chloroflexi	c__Ktedonobacteria	o__Ktedonobacterales	f__Ktedonobacteraceae	g__	s__
OTU0448	k__Bacteria	p__Chloroflexi	c__Ktedonobacteria	o__Ktedonobacterales	f__Ktedonobacteraceae	g__FFCH10602	s__
