Sample	coreID	depth	Site	length	location	drying	rep	saturation	Unassigned;__	k__Archaea;p__Crenarchaeota	k__Archaea;p__Euryarchaeota	k__Archaea;p__[Parvarchaeota]	k__Bacteria;__	k__Bacteria;p__	k__Bacteria;p__AD3	k__Bacteria;p__Acidobacteria	k__Bacteria;p__Actinobacteria	k__Bacteria;p__Armatimonadetes	k__Bacteria;p__BHI80-139	k__Bacteria;p__BRC1	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Chlamydiae	k__Bacteria;p__Chlorobi	k__Bacteria;p__Chloroflexi	k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Elusimicrobia	k__Bacteria;p__FBP	k__Bacteria;p__FCPU426	k__Bacteria;p__Fibrobacteres	k__Bacteria;p__Firmicutes	k__Bacteria;p__Fusobacteria	k__Bacteria;p__GAL15	k__Bacteria;p__GN02	k__Bacteria;p__GN04	k__Bacteria;p__GOUTA4	k__Bacteria;p__Gemmatimonadetes	k__Bacteria;p__Kazan-3B-28	k__Bacteria;p__Lentisphaerae	k__Bacteria;p__MVP-21	k__Bacteria;p__NC10	k__Bacteria;p__NKB19	k__Bacteria;p__Nitrospirae	k__Bacteria;p__OC31	k__Bacteria;p__OD1	k__Bacteria;p__OP1	k__Bacteria;p__OP11	k__Bacteria;p__OP3	k__Bacteria;p__OP8	k__Bacteria;p__PAUC34f	k__Bacteria;p__Planctomycetes	k__Bacteria;p__Proteobacteria	k__Bacteria;p__SBR1093	k__Bacteria;p__SC4	k__Bacteria;p__SR1	k__Bacteria;p__Spirochaetes	k__Bacteria;p__TM6	k__Bacteria;p__TM7	k__Bacteria;p__Tenericutes	k__Bacteria;p__Verrucomicrobia	k__Bacteria;p__WPS-2	k__Bacteria;p__WS1	k__Bacteria;p__WS2	k__Bacteria;p__WS3	k__Bacteria;p__WS5	k__Bacteria;p__ZB3	k__Bacteria;p__[Caldithrix]	k__Bacteria;p__[Thermi]
DOC_077	S49	0-5cm	SR	150d	low	FAD	r3	saturated	0	15	0	0	61	7	0	576	2505	9	0	0	971	0	4	89	4	0	0	0	0	7805	0	0	0	0	0	4	0	0	0	0	0	32	0	0	0	0	0	0	0	464	8630	0	0	0	0	0	0	0	227	0	0	0	4	0	0	0	0
DOC_078	S14	0-5cm	SR	150d	low	FAD	r4	saturated	0	13	0	0	26	4	0	530	5602	8	0	2	4421	2	2	183	9	0	0	0	0	4194	0	0	0	0	0	312	0	0	2	0	0	21	0	0	0	0	0	0	0	2201	29888	0	0	0	0	2	0	2	1009	0	0	0	4	0	0	0	0
DOC_079	S56	0-5cm	SR	150d	up	CW	r4	saturated	0	22	0	0	171	20	0	3310	22134	5	3	2	655	2	4	1055	9	6	0	0	0	9174	0	0	0	0	0	1309	0	0	0	0	0	128	0	0	0	0	0	0	0	1036	27123	0	0	0	0	3	3	0	857	0	0	0	26	0	0	0	0
DOC_080	S61	0-5cm	SR	150d	up	CW	r1	saturated	0	32	0	0	19	0	0	2656	4690	157	0	0	1878	10	4	863	0	14	0	0	0	6232	0	0	0	0	0	1099	0	0	0	0	0	15	0	3	0	0	0	0	0	4673	28414	0	0	0	0	0	3	0	2187	0	0	0	15	0	0	0	0
DOC_081	S63	0-5cm	SR	150d	up	CW	r2	saturated	0	6	0	0	8	13	0	851	1607	24	0	0	252	2	11	526	0	14	0	0	0	640	0	0	0	0	0	92	0	0	0	0	0	67	0	0	0	0	0	0	0	698	3662	0	0	0	0	4	0	0	406	0	0	0	5	0	0	0	0
DOC_082	S80	0-5cm	SR	150d	up	FAD	r2	saturated	0	15	0	0	196	18	0	3559	8747	12	0	0	1162	3	5	891	14	19	0	0	2	10804	0	0	0	0	0	498	0	0	0	0	0	108	0	0	0	2	0	0	0	3616	27271	0	0	0	0	24	0	0	1077	2	0	0	30	0	0	0	0
DOC_083	S86	0-5cm	SR	150d	up	FAD	r1	saturated	0	73	0	0	126	39	0	6787	16716	57	7	2	949	7	32	2742	34	21	0	0	0	1354	0	0	0	0	0	283	0	0	0	0	0	546	0	8	0	2	2	0	0	2111	8783	0	0	0	3	7	6	11	1428	0	0	0	84	0	0	0	0
DOC_084	S3	0-5cm	SR	30d	low	CW	r4	saturated	0	122	0	0	38	10	0	1147	4392	7	0	0	1347	8	7	458	18	34	0	0	0	7090	0	0	0	0	0	326	0	0	0	0	0	44	0	6	0	0	0	0	0	581	20047	0	0	0	0	11	3	0	396	0	0	0	3	30	0	0	0
DOC_085	S9	0-5cm	SR	30d	low	CW	r2	saturated	0	82	0	0	54	12	0	1730	3873	68	0	6	2830	29	0	685	91	0	0	0	0	2163	0	0	0	0	0	613	0	0	0	0	0	14	0	4	0	0	0	0	0	1710	22623	0	0	0	0	40	0	0	1018	0	0	0	2	0	0	0	0
DOC_086	S20	0-5cm	SR	30d	low	CW	r3	saturated	0	82	0	0	59	0	0	1568	3524	81	0	0	3314	28	0	634	28	11	0	0	0	6017	0	0	0	0	0	656	0	0	0	0	0	2	0	16	0	0	0	0	0	2473	23038	0	0	0	0	23	0	0	1096	0	0	0	20	0	0	0	2
DOC_087	S27	0-5cm	SR	30d	low	FAD	r3	saturated	0	18	2	14	61	0	0	1591	3066	103	0	20	6488	15	3	598	11	5	0	0	0	2873	0	0	0	0	0	849	0	0	0	0	0	11	0	0	0	0	0	0	0	1907	35575	0	0	0	0	7	2	0	1339	0	0	0	2	0	0	0	19
DOC_088	S16	0-5cm	SR	30d	low	FAD	r2	saturated	0	78	0	5	24	9	0	1174	2439	86	0	0	6432	19	0	433	17	2	0	0	0	5498	0	0	0	0	0	620	0	0	0	0	2	26	0	0	0	0	0	0	0	1122	34972	2	0	0	0	5	0	0	1324	0	0	0	8	0	0	0	0
DOC_089	S39	0-5cm	SR	30d	low	FAD	r4	saturated	0	25	0	0	131	11	0	1741	7777	36	0	7	2511	4	3	570	50	20	0	19	3	6933	0	0	0	0	0	231	0	0	0	0	0	71	0	7	0	0	3	0	0	2203	24743	0	0	0	2	41	0	0	824	6	3	0	21	0	0	0	11
DOC_090	S83	0-5cm	SR	30d	up	CW	r1	saturated	0	10	0	0	74	39	0	6016	5326	28	0	0	276	2	11	1116	3	13	0	0	3	970	0	0	0	0	0	237	0	0	0	0	0	383	0	0	0	0	0	0	0	1837	11154	0	0	0	0	4	0	0	1921	0	0	0	165	0	0	0	19
DOC_091	S54	0-5cm	SR	30d	up	CW	r4	saturated	0	22	0	0	100	13	0	4333	7064	33	0	2	866	0	4	613	13	17	0	2	0	3847	0	0	0	0	0	749	0	0	0	0	0	110	0	0	0	0	0	0	0	938	17265	0	0	0	3	19	0	0	922	0	0	0	58	0	0	0	0
DOC_092	S66	0-5cm	SR	30d	up	CW	r3	saturated	0	18	0	0	29	5	0	4507	8004	18	0	0	2535	7	6	691	28	7	0	0	10	2515	0	0	0	0	0	844	0	0	0	0	0	31	0	0	0	0	0	0	0	2035	30042	0	0	0	0	15	0	0	1579	0	0	0	46	0	0	0	0
DOC_093	S57	0-5cm	SR	30d	up	FAD	r4	saturated	0	12	0	0	156	8	0	2484	13669	28	0	0	288	3	5	767	0	0	0	0	0	1193	0	0	0	2	0	384	0	0	0	0	0	226	0	0	0	0	0	0	0	801	14333	0	0	0	0	5	0	0	725	0	0	3	20	0	0	0	58
DOC_094	S76	0-5cm	SR	30d	up	FAD	r2	saturated	0	2	0	0	55	0	0	84	7261	0	0	0	0	0	0	60	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65
DOC_095	S15	0-5cm	SR	90d	low	CW	r2	saturated	0	56	0	0	84	9	0	502	3309	20	0	0	3292	34	25	271	22	19	0	0	0	2969	0	0	0	0	0	302	0	0	0	0	0	77	0	11	0	0	0	0	0	636	16473	0	0	0	0	16	0	0	649	0	6	0	6	0	0	0	0
DOC_096	S11	0-5cm	SR	90d	low	CW	r1	saturated	0	75	0	0	0	0	0	282	5486	0	0	0	187	0	0	99	0	0	0	0	0	726	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	211	13972	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	97
DOC_097	S25	0-5cm	SR	90d	low	CW	r4	saturated	0	226	0	19	40	61	0	8497	846	20	0	4	996	25	70	632	35	206	0	94	8	0	0	0	20	19	0	608	0	0	0	0	5	1198	2	44	0	6	65	0	0	926	10397	3	0	0	29	36	0	0	1934	0	0	0	516	0	0	0	0
DOC_098	S1	0-5cm	SR	90d	low	FAD	r1	saturated	0	0	0	0	130	0	0	501	4820	0	0	0	459	0	0	239	54	0	0	0	0	1140	0	0	0	0	0	106	0	0	0	0	0	136	0	10	0	0	0	0	0	183	31167	0	0	0	49	0	0	0	565	0	0	0	0	0	0	0	76
DOC_099	S18	0-5cm	SR	90d	low	FAD	r3	saturated	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_100	S37	0-5cm	SR	90d	low	FAD	r4	saturated	0	55	0	2	66	0	0	473	2773	14	0	0	2118	3	2	237	0	0	0	0	0	6925	0	0	0	0	0	189	0	0	0	0	0	7	0	0	0	0	0	0	0	659	17793	0	2	0	0	5	6	0	428	0	0	0	0	0	0	0	0
DOC_101	S53	0-5cm	SR	90d	up	CW	r4	saturated	0	19	0	0	55	23	0	4762	6181	36	0	0	1058	7	0	710	48	11	0	0	3	5783	0	0	0	3	0	560	0	0	0	0	0	100	0	0	0	0	0	0	0	1504	19286	0	0	0	3	9	0	2	1094	0	0	0	31	0	0	0	4
DOC_102	S87	0-5cm	SR	90d	up	CW	r1	saturated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_103	S65	0-5cm	SR	90d	up	CW	r3	saturated	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_104	S52	0-5cm	SR	90d	up	FAD	r3	saturated	0	2	0	0	0	0	0	0	6406	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_105	S72	0-5cm	SR	90d	up	FAD	r4	saturated	0	24	0	0	72	9	0	1706	4257	18	0	3	3486	12	0	290	20	0	0	0	2	6202	0	0	0	0	0	263	0	0	0	0	0	61	0	0	0	0	0	0	0	1574	27058	0	0	0	0	6	0	0	716	0	0	0	15	0	0	0	0
DOC_106	S78	0-5cm	SR	90d	up	FAD	r1	saturated	0	0	0	0	155	0	11	1413	6433	7	0	0	1707	0	0	322	42	0	0	0	0	3296	0	0	0	0	0	67	0	0	0	0	0	57	0	0	0	0	0	0	0	1160	25349	0	0	0	0	4	2	0	630	0	0	0	13	0	0	0	46
DOC_107	S13	5cm-end	SR	150d	low	CW	r2	saturated	0	0	0	0	0	0	0	3	8231	0	0	0	11	0	0	0	0	0	0	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83
DOC_108	S26	5cm-end	SR	150d	low	CW	r3	saturated	0	392	2	57	37	121	2	7601	3697	30	0	13	799	55	170	1054	66	44	0	27	3	596	0	0	19	59	0	1045	0	3	0	60	2	2391	0	131	0	10	53	0	0	926	21114	21	0	0	210	20	0	0	1909	0	0	0	383	0	0	6	0
DOC_109	S4	5cm-end	SR	150d	low	CW	r4	saturated	0	181	0	3	22	2	0	1123	4035	52	0	3	3285	2	8	372	90	3	0	0	0	5263	2	0	0	0	0	342	0	0	0	0	0	27	0	6	0	0	0	0	0	784	17139	0	6	0	0	6	2	4	573	2	0	4	4	4	0	0	0
DOC_110	S8	5cm-end	SR	150d	low	FAD	r3	saturated	0	18	0	0	45	2	0	184	1620	28	0	3	3853	3	11	76	21	0	0	0	0	2989	0	0	0	0	0	263	0	0	0	0	0	25	0	5	0	0	0	0	0	395	23120	0	0	0	0	0	0	0	366	0	0	0	7	4	0	0	0
DOC_111	S49	5cm-end	SR	150d	low	FAD	r3	saturated	0	4	0	0	13	0	0	44	454	7	0	0	1595	0	0	34	16	0	0	0	0	2506	0	0	0	0	0	60	0	0	0	0	0	28	0	0	0	0	0	0	0	142	14964	0	0	0	2	2	0	2	224	0	0	0	0	0	0	0	0
DOC_112	S14	5cm-end	SR	150d	low	FAD	r4	saturated	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_113	S56	5cm-end	SR	150d	up	CW	r4	saturated	0	2	0	0	40	0	7	1099	5086	15	0	0	259	2	0	489	2	2	2	0	0	1634	0	0	0	0	0	154	0	0	0	0	0	43	0	0	0	0	0	0	0	1550	9131	0	0	0	0	8	38	0	629	0	0	0	0	0	0	0	0
DOC_114	S61	5cm-end	SR	150d	up	CW	r1	saturated	0	5	0	0	71	0	0	1256	4944	22	0	0	2295	7	0	430	23	0	0	0	0	7165	0	0	0	0	0	223	0	0	0	0	0	58	0	0	0	0	0	0	0	1751	32642	0	0	0	0	15	19	0	1526	0	0	0	0	0	0	0	3
DOC_115	S63	5cm-end	SR	150d	up	CW	r2	saturated	0	0	0	0	52	6	6	622	5507	52	0	0	742	2	0	301	20	13	7	0	0	2258	0	0	0	0	0	176	0	0	0	0	0	115	0	0	0	0	0	0	0	1420	22493	0	0	0	0	4	3	0	581	0	0	0	6	0	0	0	0
DOC_116	S80	5cm-end	SR	150d	up	FAD	r2	saturated	0	0	0	0	31	0	0	293	2451	34	0	0	854	4	0	46	6	0	0	0	0	2590	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	608	10079	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0
DOC_117	S86	5cm-end	SR	150d	up	FAD	r1	saturated	0	8	0	0	37	24	0	902	2719	19	0	0	1351	2	0	194	3	0	0	0	0	4300	0	0	0	0	0	156	0	0	0	0	0	79	0	0	0	0	0	0	0	373	14004	0	0	0	0	4	0	0	414	0	0	0	0	0	0	0	0
DOC_118	S3	5cm-end	SR	30d	low	CW	r4	saturated	0	214	0	0	40	10	0	1155	4849	110	0	5	1919	0	6	573	40	0	0	0	0	11506	0	0	0	0	0	148	0	0	0	3	0	87	0	31	0	0	0	0	0	1425	27155	9	33	0	5	25	0	0	796	0	0	0	15	0	0	0	5
DOC_119	S9	5cm-end	SR	30d	low	CW	r2	saturated	0	0	0	0	0	0	0	0	5717	0	0	0	147	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101
DOC_120	S20	5cm-end	SR	30d	low	CW	r3	saturated	0	76	0	2	10	7	0	769	2040	48	0	4	1777	28	5	327	11	0	0	0	0	5599	0	0	0	0	0	69	0	0	0	0	0	66	0	2	0	0	0	0	0	493	19307	0	12	0	4	2	0	0	533	0	0	0	0	0	0	0	0
DOC_121	S27	5cm-end	SR	30d	low	FAD	r3	saturated	0	229	0	0	22	3	0	1898	10115	120	0	0	11197	16	3	966	31	4	0	0	0	7494	0	0	0	0	0	762	0	0	0	0	0	224	0	47	0	0	0	0	0	2792	42025	21	19	0	0	41	2	2	2770	0	2	0	16	0	0	0	0
DOC_122	S16	5cm-end	SR	30d	low	FAD	r2	saturated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_123	S39	5cm-end	SR	30d	low	FAD	r4	saturated	0	154	0	2	82	38	0	1690	6342	127	0	24	19561	12	3	578	187	8	0	0	0	22823	0	0	0	0	0	554	0	0	0	6	0	358	0	79	0	0	5	0	0	1310	62658	0	33	0	0	17	0	6	1657	0	0	0	4	8	0	0	0
DOC_124	S83	5cm-end	SR	30d	up	CW	r1	saturated	0	11	0	0	18	2	3	1380	2686	20	0	10	1823	8	0	326	0	0	2	0	0	3161	0	0	7	0	0	196	0	0	0	0	0	24	0	0	0	2	0	0	0	1132	16068	0	0	0	0	9	0	0	949	0	0	0	19	0	0	0	0
DOC_125	S54	5cm-end	SR	30d	up	CW	r4	saturated	0	28	0	0	26	10	10	4018	7242	74	0	0	3120	37	0	957	31	8	0	0	0	8451	0	0	0	0	0	436	0	0	0	0	0	105	0	0	0	0	0	0	0	2685	31077	0	0	0	0	79	9	0	2207	0	0	0	28	0	0	0	0
DOC_126	S66	5cm-end	SR	30d	up	CW	r3	saturated	0	14	0	0	18	2	0	3087	6557	48	0	0	978	17	0	648	38	6	0	0	0	9392	0	0	0	0	0	450	0	0	0	0	0	195	0	0	0	0	0	0	0	3654	18405	0	0	0	0	59	4	0	1610	0	0	0	4	0	0	0	0
DOC_127	S57	5cm-end	SR	30d	up	FAD	r4	saturated	0	25	0	0	46	22	14	3273	7737	178	0	4	2848	25	3	1106	25	21	0	0	0	5548	0	0	0	0	0	948	0	0	0	0	0	187	0	0	0	0	0	0	0	4009	47858	0	0	0	0	74	0	0	2506	0	0	0	36	0	0	0	0
DOC_128	S76	5cm-end	SR	30d	up	FAD	r2	saturated	0	11	0	2	35	2	0	1577	3722	27	0	0	3889	4	0	393	58	0	0	0	0	6140	0	2	0	0	0	147	0	0	0	0	0	129	0	12	0	0	0	0	0	668	24140	0	0	0	3	46	4	0	1144	0	0	0	4	0	0	0	0
DOC_129	S15	5cm-end	SR	90d	low	CW	r2	saturated	0	56	2	0	50	0	0	476	3215	10	0	0	3856	8	0	174	89	4	0	2	0	6274	0	0	0	0	0	36	0	0	0	0	0	48	0	3	0	2	0	0	0	335	18973	3	16	0	6	11	0	0	272	0	0	0	0	0	0	0	0
DOC_130	S11	5cm-end	SR	90d	low	CW	r1	saturated	0	271	0	0	35	2	0	829	5226	24	0	0	6667	13	0	436	13	5	0	0	0	7328	0	0	0	0	0	127	0	0	0	3	0	76	0	0	0	0	0	0	0	803	20181	12	7	0	0	8	0	0	628	0	0	0	6	0	0	0	0
DOC_131	S25	5cm-end	SR	90d	low	CW	r4	saturated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_132	S1	5cm-end	SR	90d	low	FAD	r1	saturated	0	77	7	28	11	25	4	2322	1757	53	0	7	564	4	32	419	23	35	2	17	0	1381	0	0	6	0	11	251	0	0	0	0	0	549	0	31	0	7	34	0	0	496	9291	16	0	0	47	28	3	0	979	7	0	0	67	0	0	0	6
DOC_133	S18	5cm-end	SR	90d	low	FAD	r3	saturated	0	60	0	0	8	4	0	372	3066	19	0	4	4178	8	2	196	19	2	0	0	0	3398	0	0	0	0	0	75	0	0	0	4	0	13	0	0	0	0	0	0	0	331	17336	6	8	0	0	3	0	0	609	0	0	0	0	0	0	0	0
DOC_134	S37	5cm-end	SR	90d	low	FAD	r4	saturated	0	45	0	0	3	0	0	260	1388	2	0	0	3107	0	0	74	30	0	0	0	0	2976	0	0	0	0	0	13	0	0	2	3	0	28	0	0	0	0	0	0	0	278	11677	0	9	0	0	2	0	3	183	0	0	0	0	0	0	0	0
DOC_135	S53	5cm-end	SR	90d	up	CW	r4	saturated	0	8	0	0	25	2	0	1007	2377	30	0	0	2745	15	0	269	6	3	0	0	0	2254	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	398	12551	0	0	0	0	21	0	0	672	0	0	0	9	0	0	0	0
DOC_136	S87	5cm-end	SR	90d	up	CW	r1	saturated	0	8	0	0	8	4	3	1608	4216	7	0	0	5197	7	0	444	4	0	0	0	0	3596	0	0	0	0	0	273	0	0	0	0	0	48	0	0	0	0	0	0	0	2129	13604	0	0	0	0	4	6	0	1128	0	0	0	0	0	0	0	0
DOC_137	S65	5cm-end	SR	90d	up	CW	r3	saturated	3	65	0	0	25	17	0	3116	6111	8	0	0	2317	0	0	976	5	4	0	0	0	1166	0	0	0	0	0	477	0	0	0	0	0	113	0	0	0	0	0	0	0	1368	18116	0	0	0	0	11	2	0	660	0	0	0	41	0	0	0	0
DOC_138	S52	5cm-end	SR	90d	up	FAD	r3	saturated	0	10	0	0	19	0	0	641	1558	13	0	0	1649	0	0	125	9	0	0	0	0	3112	0	0	0	0	0	59	0	0	0	0	0	28	0	0	0	0	0	0	0	1179	17249	0	0	0	0	13	0	0	448	0	0	0	0	0	0	0	0
DOC_139	S72	5cm-end	SR	90d	up	FAD	r4	saturated	0	10	0	0	11	5	0	344	3263	29	0	0	2305	0	0	52	0	0	0	0	0	3039	0	0	0	0	0	133	0	0	0	0	0	31	0	0	0	0	0	0	0	1268	19307	0	0	0	0	2	0	0	440	0	0	0	0	0	0	0	0
DOC_140	S78	5cm-end	SR	90d	up	FAD	r1	saturated	0	0	0	0	20	0	3	638	4014	6	0	0	613	0	0	213	2	0	0	0	0	679	0	0	0	0	0	67	0	0	0	0	0	38	0	0	0	0	0	0	0	864	12872	0	0	0	0	0	0	0	313	0	0	0	0	0	0	0	0
DOC_141	C78	0-5cm	CPCRW	90d		CW	r1	instant chemistry	0	0	2	0	7	4	32	1685	264	0	0	0	42	0	4	265	0	11	0	0	0	0	0	0	4	0	2	93	0	0	0	0	0	178	0	3	0	0	0	0	0	94	972	0	0	2	0	3	5	0	1126	0	0	0	11	0	0	0	0
DOC_142	C76	0-5cm	CPCRW	90d		CW	r2	instant chemistry	0	56	0	18	42	23	64	12124	2872	78	0	0	1059	2	87	2336	25	14	0	0	13	191	0	0	6	0	0	1104	0	0	0	0	3	692	0	47	0	5	8	0	0	857	6965	0	0	0	0	15	17	0	7226	0	0	0	30	0	0	0	0
DOC_143	C84	0-5cm	CPCRW	90d		CW	r3	instant chemistry	0	2	0	0	0	0	0	0	4901	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
DOC_144	C70	0-5cm	CPCRW	90d		FAD	r1	instant chemistry	0	25	0	14	9	6	6	5425	1396	9	0	6	323	5	2	642	15	16	0	0	0	11	0	0	2	0	0	89	0	0	0	0	0	559	0	30	0	0	35	0	0	433	5279	0	0	0	0	17	8	0	3681	0	0	7	26	0	0	0	0
DOC_145	C80	0-5cm	CPCRW	90d		FAD	r2	instant chemistry	0	9	0	3	15	13	26	8904	1315	36	0	2	365	17	0	981	12	37	2	0	3	5	0	0	2	0	2	313	0	0	0	0	0	577	0	36	0	0	44	0	0	589	5400	0	0	0	0	13	7	0	11639	3	0	0	43	0	0	0	0
DOC_146	C83	0-5cm	CPCRW	90d		FAD	r3	instant chemistry	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_147	C78	5cm-end	CPCRW	90d		CW	r1	instant chemistry	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_148	C76	5cm-end	CPCRW	90d		CW	r2	instant chemistry	0	12	0	0	11	25	400	8523	6167	65	0	8	232	2	63	3603	3	4	0	0	0	275	2	0	0	0	3	1955	2	0	0	0	0	232	0	10	0	2	5	0	0	553	4513	0	0	0	0	9	15	0	1746	0	2	2	6	0	0	0	0
DOC_149	C84	5cm-end	CPCRW	90d		CW	r3	instant chemistry	0	5	0	0	0	0	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_150	C70	5cm-end	CPCRW	90d		FAD	r1	instant chemistry	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_151	C80	5cm-end	CPCRW	90d		FAD	r2	instant chemistry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_152	C83	5cm-end	CPCRW	90d		FAD	r3	instant chemistry	0	295	0	31	50	132	259	18921	14729	322	0	15	737	51	218	12838	26	56	0	0	45	708	0	0	10	0	0	3556	0	0	0	0	0	2078	0	139	0	24	24	0	6	1598	18670	0	0	3	6	73	88	0	8306	0	13	0	195	2	0	0	0
DOC_153	S91	0-5cm	SR	30d		CW	r1	instant chemistry	0	20	0	0	16	41	0	8494	1592	24	0	0	278	7	25	2327	0	0	0	0	0	19	0	0	0	0	0	444	0	0	0	0	0	1154	0	0	0	0	0	0	0	1761	4752	0	0	0	0	9	0	0	2082	0	0	0	299	0	0	0	0
DOC_154	S24	0-5cm	SR	30d		CW	r2	instant chemistry	0	44	0	2	7	27	0	3130	1379	7	3	0	140	2	31	937	6	2	2	14	3	18	0	0	0	0	0	166	0	0	0	11	0	218	0	2	0	0	4	2	0	431	3243	0	0	0	17	6	3	0	775	0	0	0	66	0	0	0	0
DOC_155	S81	0-5cm	SR	30d		CW	r3	instant chemistry	0	0	0	0	18	19	0	3949	1315	29	0	0	376	2	23	1592	0	0	0	0	0	40	0	0	0	0	0	110	0	0	0	0	0	314	0	4	0	0	0	0	0	1007	3610	0	0	0	0	4	0	0	1370	0	0	0	59	0	0	0	0
DOC_156	S45	0-5cm	SR	30d		FAD	r1	instant chemistry	0	31	0	0	36	10	5	2748	1930	80	0	19	233	7	36	939	6	6	0	0	0	74	0	0	2	0	0	118	0	0	0	0	0	255	2	13	0	0	0	0	0	617	4641	0	0	0	3	31	0	0	759	0	0	0	87	0	0	0	18
DOC_157	S43	0-5cm	SR	30d		FAD	r2	instant chemistry	0	70	0	2	22	33	8	6756	2764	86	0	0	128	14	32	2016	5	43	0	13	0	25	0	0	0	0	0	226	0	0	0	3	0	861	0	5	0	2	3	0	0	1206	4773	9	0	0	0	13	0	0	1492	0	2	0	162	0	0	0	0
DOC_158	S79	0-5cm	SR	30d		FAD	r3	instant chemistry	0	0	0	0	13	13	0	2629	721	9	0	2	144	0	15	542	0	0	0	0	0	4	0	0	0	0	0	83	0	0	0	0	0	86	0	0	0	0	0	0	0	617	1935	0	0	0	0	0	0	0	1190	0	0	0	98	0	0	0	0
DOC_159	S95	0-5cm	SR	90d		CW	r1	instant chemistry	0	12	0	0	17	18	0	3963	959	0	0	0	159	2	17	803	3	0	0	2	0	23	0	0	0	3	0	76	0	0	0	0	0	311	0	0	0	0	0	0	0	632	1968	0	0	0	0	0	0	0	711	0	0	0	108	0	0	0	0
